utc_time,utc_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,911359309.2595787,43825055.91157503,2588953682.198909,110371980.6253258,8882900.648650322,107461392.04195145,122383.08899218656,946349.2791044015,16119958.815938208,63196453.015097275,111360004.61036955,51654061.89728793,53022477.1105796,2220235.758353814,14380208.31866601,12315748.244071428,4316302.829951476,39143932.436840706,11772097.768206311,2272557.2792926077,5516339.396851907,4295529.026909044
1,2,888848028.2167327,46893239.632509366,2544332606.1757565,108880020.69780202,8892939.861246206,102035694.56838605,961327.2448990581,1097551.6903954851,15712224.583290499,65780555.664317735,117722851.26970135,56112274.72101167,58960989.62537964,1850134.8630399338,13702529.24051583,11869301.645716105,4720413.170737387,38239772.85745731,11668814.922212513,2288976.287538071,5074314.102441413,3607851.506241279
1,3,895003835.3894264,42679534.47403046,2631206656.2783265,116832127.95128551,8859100.318991227,103860137.17332123,666730.149096692,1076436.4431410886,14902689.979766028,70055539.87977089,121105846.82103045,59132308.67395209,61668063.899403885,1994578.9522099914,15124079.231935987,12300664.627068749,4820579.148113194,38894496.38902422,11539780.39924084,2986570.392797841,5822618.243363841,4490112.674966956
1,4,897292533.9798731,43596672.741904646,2547217872.9833446,118659573.79895863,8459717.26633904,105097096.12573314,591185.6902446068,959030.1383440437,15665232.299887719,62584864.57535854,133384553.77020948,54968200.39381721,73520340.63927273,2434540.211586883,14273316.226995206,12055532.605148517,5200904.039129371,40168615.24467676,10513895.21600972,2129065.8959575514,5126417.667023088,3743984.734036998
1,5,903377046.1925085,47135418.749149255,2559150678.445627,126478799.41563746,8115016.278384025,102491329.93863182,244697.70906812378,1109614.363666502,15888247.838575188,61235000.82157804,120416272.16872276,59868168.70373085,68752771.18433605,2462375.0625692094,17123658.81726206,11705701.545783604,5336652.864367468,38913791.89847884,11909652.957504196,2024422.9090535229,5324157.952890999,3743400.678045859
1,6,904374316.872112,42928073.31114579,2601559091.312395,116462327.93093413,8641575.63045225,105360777.13267884,487696.5073451462,1218991.173630956,15361734.724352693,64110298.34781121,119837433.35539675,53288186.940363996,65955993.1095562,2279259.750314911,15969347.02339759,11674859.786504729,4411104.366334554,39250504.191783026,12368203.61190671,2435915.5948789194,5360335.698608365,4223107.491615008
1,7,910346005.9465998,47350598.45657284,2577327948.655454,108585842.89256795,8218760.914566727,103993823.77601714,337269.31699590746,1246357.6625621975,17550931.81097392,66821754.81168796,113607270.06332844,52393034.71530414,60098086.943990424,2248195.363092445,15510739.446348704,11643709.235411083,4411669.778035781,38634723.51168665,10366889.253762234,2970120.943444531,5689938.14713833,3631642.705796243
1,8,913595823.8008441,54438378.59440231,2640537377.8730674,106425269.88369212,8488819.745153686,105214688.15196837,289429.4608104036,1145031.250791262,20733692.585116334,64076181.23499802,108555774.65702063,53229123.94536502,52010624.73210953,2043647.049103108,15002313.594419513,14307104.397328785,4604046.322400234,39204363.19622436,12387238.866997356,2222878.855352265,5495081.587537996,4022378.9603886018
1,9,916347591.8112434,43624996.931935035,2610728589.2450476,113057450.02183567,6997730.316996308,103631769.25799437,152455.1810515416,1074360.347832682,17972779.958192367,62027065.094751425,132976956.06103897,53057830.74610421,66921516.50534823,2378259.9852458714,15256171.460893184,13893563.723253204,3786897.9615273657,39769899.075546116,11145902.838980887,1850089.5477199913,5261596.604784467,4258267.349993738
1,10,914591416.6124235,50556550.95495661,2564624107.2934957,110442118.64550903,9193066.489014598,105968961.39222683,138187.4362237682,982192.2715580377,19786393.905618716,60806738.739443496,118738370.52755986,51914378.8388835,58249371.13531456,2432389.9236452198,14943975.118164664,14597378.822181972,4714976.711669161,39342201.52908007,11234981.099395351,2229060.2787410924,5359294.343985215,4083669.4579156903
