time,time,AL,BA,BE,BG,BY,CH,CZ,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
1,1,0.043802925,0.039357449,0.019816764,0.043592663,0.014299601,0.031471347,0.023195801,0.011638949,0.008550697,0.053260791,0.003796325,0.029726631,0.010890537,0.05306689,0.039175909,0.031180801,0.011019557,0.049378815,0.011955402,0.010056921,0.03149139,0.041236631,0.042726217,0.066083934,0.016290945,0.001228427,0.017644287,0.052818632,0.034102372,0.037299892,0.005260312,0.004674879,0.037893985,0.026158762,0.050481492,0.023904704
1,2,0.044739539,0.038630555,0.018350149,0.042114863,0.014708293,0.029980719,0.024201301,0.009655241,0.007406846,0.053004115,0.003336433,0.028525867,0.010622459,0.053872835,0.040104077,0.032860279,0.011580645,0.04978147,0.01163534,0.009876899,0.032979462,0.039183708,0.041529205,0.070648303,0.015383855,0.001211721,0.016970896,0.053194212,0.033564527,0.035303089,0.005013581,0.004321706,0.038121828,0.02692306,0.049418214,0.024379961
1,3,0.046933212,0.034889416,0.017931202,0.04358231,0.014739627,0.032166847,0.02308837,0.01065909,0.008282614,0.053356227,0.00358467,0.029597074,0.009679203,0.056315566,0.036774785,0.02916953,0.01078125,0.049219038,0.01214194,0.01070028,0.033084709,0.038416889,0.04385151,0.070073543,0.014830787,0.001215938,0.016220456,0.054965978,0.034800443,0.036949389,0.005128269,0.004366814,0.036529797,0.023954513,0.049085884,0.024724591
1,4,0.046343498,0.037105367,0.018885752,0.043128013,0.014746077,0.029417859,0.02311279,0.010540857,0.008302901,0.055627898,0.003537477,0.028947408,0.011270287,0.055282841,0.038936047,0.030858073,0.011941483,0.048196817,0.011755065,0.010386858,0.031252796,0.037881341,0.044127817,0.070266197,0.015296058,0.001299238,0.016513414,0.055245209,0.032504028,0.035224447,0.005814729,0.00428439,0.03810206,0.025389805,0.050309105,0.023765987
1,5,0.042420348,0.036532473,0.019076149,0.039455459,0.015401158,0.029653641,0.024963436,0.01151752,0.00781874,0.053255654,0.003984376,0.028806128,0.01110719,0.049803328,0.038501318,0.031843613,0.012299068,0.047400055,0.011668199,0.009901212,0.033939251,0.038553858,0.039839553,0.068190186,0.016484112,0.001414271,0.017458412,0.053969546,0.034167639,0.036248468,0.00559992,0.00467105,0.03795296,0.026387372,0.049239615,0.025978498
1,6,0.043571887,0.03867092,0.018577349,0.038762851,0.016444011,0.032233712,0.022143198,0.01179983,0.008877388,0.053994534,0.004315247,0.030717553,0.011301365,0.050983858,0.040503135,0.032649846,0.011645274,0.048590645,0.013424716,0.011430002,0.033905866,0.03936534,0.039027124,0.069354231,0.015889179,0.001426283,0.017371929,0.054934064,0.033809279,0.034970598,0.005847086,0.005022959,0.038290586,0.026735435,0.047229026,0.025374604
1,7,0.042473118,0.035921508,0.01949583,0.041543861,0.01695153,0.03285567,0.024262372,0.010457242,0.009027405,0.054647121,0.004333232,0.031153717,0.012114689,0.050325375,0.038529454,0.032708018,0.01288217,0.049094674,0.014998611,0.012067733,0.032758079,0.037685574,0.041043389,0.07257716,0.016813514,0.001500651,0.019528445,0.053077447,0.033912488,0.035110867,0.006165132,0.004821581,0.038439995,0.027575925,0.047822929,0.025738076
1,8,0.044998295,0.040086043,0.019981904,0.04186246,0.016353993,0.036397435,0.027117417,0.011937271,0.009058865,0.051951401,0.003776258,0.031907963,0.011536126,0.052211224,0.041725835,0.032360998,0.012172422,0.051134068,0.012958508,0.011550006,0.034022102,0.040779133,0.043447171,0.072172738,0.017416651,0.001709426,0.019864458,0.05005768,0.032894594,0.034930465,0.00643886,0.005292646,0.04114972,0.027897048,0.047545516,0.026558967
1,9,0.045928805,0.039993136,0.021116584,0.045005477,0.016636943,0.033929489,0.027469994,0.012361738,0.00970246,0.051882217,0.004357248,0.030565562,0.012979038,0.052755986,0.041024258,0.033466299,0.013445069,0.050572058,0.014076242,0.012225147,0.036168382,0.041242525,0.044151043,0.075934562,0.018638999,0.0016969,0.020050747,0.049223649,0.035856362,0.037654151,0.006132547,0.005658584,0.040108332,0.028056126,0.047173193,0.02685152
1,10,0.047946999,0.039701799,0.021239929,0.045568412,0.01680279,0.033675928,0.026945629,0.01286696,0.010333301,0.056161239,0.00468921,0.031243616,0.012957447,0.056703653,0.039925446,0.033222801,0.014098352,0.049626708,0.014165947,0.012484173,0.034661627,0.042547895,0.048022092,0.07575301,0.017473991,0.001874164,0.019043414,0.053734917,0.034692986,0.039846624,0.00644481,0.006104009,0.038249582,0.028379276,0.050909763,0.026230343
1,11,0.046546579,0.038692209,0.019802277,0.046233024,0.01872279,0.035251896,0.027433687,0.011651739,0.010710825,0.057765748,0.004846386,0.032313305,0.012261337,0.056586431,0.03961769,0.034047193,0.013041461,0.050240441,0.016173976,0.013644921,0.033165042,0.04197067,0.046853552,0.074463584,0.017278529,0.001951501,0.019813808,0.056903395,0.035859827,0.040717342,0.006985456,0.00614509,0.039909239,0.027961929,0.05337039,0.026051018
1,12,0.047945397,0.041171011,0.021216699,0.044915179,0.017337797,0.036269985,0.026167799,0.012382392,0.010885624,0.057823419,0.005319637,0.033284067,0.012596655,0.056431095,0.041821705,0.034251578,0.012390618,0.05254774,0.014872156,0.012922494,0.032409018,0.043289726,0.047293112,0.072621988,0.018081655,0.001915735,0.020064549,0.057238853,0.033773784,0.040094396,0.007018959,0.006266635,0.040390649,0.02778745,0.053995658,0.025803202
1,13,0.048673703,0.043431086,0.021089236,0.041390836,0.017093766,0.035959945,0.0286025,0.012300513,0.010705686,0.05797273,0.005153553,0.033515912,0.012207961,0.054270061,0.045360046,0.034993093,0.012665661,0.053997732,0.014461541,0.012467214,0.033613854,0.043978425,0.045459849,0.074658774,0.017452567,0.001955483,0.020658028,0.056026128,0.033835696,0.039203961,0.007077905,0.006559561,0.044482003,0.030644682,0.050715463,0.026169938
1,14,0.051442267,0.044997685,0.018983292,0.046214905,0.019165537,0.034458532,0.027199991,0.012312045,0.011608872,0.060010993,0.005415697,0.031063301,0.012538877,0.056664297,0.045112867,0.035777734,0.013083519,0.053859297,0.016001742,0.013740054,0.034360984,0.04877358,0.049896208,0.071692299,0.016648512,0.002155993,0.02090986,0.056951462,0.03693623,0.044390003,0.007846719,0.00639643,0.043671752,0.029520218,0.052204697,0.027491752
1,15,0.049479041,0.04397425,0.018845906,0.045650511,0.019345348,0.03514777,0.027554148,0.012876112,0.012180734,0.0606124,0.005513059,0.031609288,0.013236384,0.056202306,0.046015661,0.036092881,0.013027554,0.055629725,0.018249121,0.015297868,0.035437774,0.044283909,0.047802309,0.078357962,0.016717992,0.002295678,0.021211684,0.056601422,0.036387817,0.040017205,0.008189958,0.007276033,0.045164303,0.030293028,0.052469604,0.027718988
1,16,0.049727249,0.041780871,0.021440623,0.048297511,0.021453943,0.035500785,0.028154274,0.012909189,0.012442196,0.058532666,0.006033527,0.032375399,0.014418306,0.058304554,0.043141316,0.035808281,0.015080177,0.05378758,0.017744531,0.015461422,0.038928338,0.043953549,0.048548889,0.073854294,0.017933715,0.002494205,0.020938505,0.056946951,0.039756913,0.041163116,0.008328049,0.007439105,0.041055777,0.030139801,0.055202187,0.031706994
