time,time,AL,BA,BE,BG,BY,CH,CZ,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
1,1,0.045517451,0.037780261,0.017930548,0.042071137,0.014942368,0.031145111,0.025451729,0.010183935,0.008818399,0.057005051,0.003464872,0.029683969,0.010525769,0.055191017,0.03914661,0.031669834,0.012286572,0.050595971,0.01307163,0.01097462,0.03024884,0.038821229,0.044129421,0.076099422,0.015379883,0.001153495,0.01940404,0.053844769,0.033039405,0.037291311,0.005777437,0.004397891,0.038107915,0.026032323,0.050989454,0.023777
1,2,0.048676094,0.038452169,0.018650922,0.041613552,0.015253518,0.032526787,0.025575961,0.010094025,0.00766967,0.055553396,0.003364332,0.030184167,0.010716135,0.055272659,0.038868438,0.032969214,0.012198744,0.049806243,0.011967992,0.009893963,0.0319747,0.041733887,0.044966194,0.074973453,0.016054994,0.001195197,0.019474271,0.05405758,0.034049657,0.03815502,0.005604276,0.004177435,0.036850091,0.02831947,0.051274241,0.024909231
1,3,0.04755482,0.038952501,0.017832343,0.04195193,0.015434256,0.033474708,0.025352591,0.010941872,0.008708575,0.057532,0.003564259,0.030707971,0.010868906,0.055727222,0.04000469,0.033617696,0.012204913,0.050928695,0.01371362,0.011143683,0.029260452,0.041645482,0.045902009,0.072374142,0.015715447,0.0013255,0.019445355,0.055715997,0.033320285,0.038485892,0.005627392,0.004541051,0.039837282,0.028496828,0.051918617,0.023413473
1,4,0.046981301,0.040814423,0.01774177,0.045065256,0.015754746,0.035276204,0.026580174,0.012204322,0.009757303,0.057831989,0.00402739,0.030319482,0.011181783,0.055118518,0.042294892,0.034332421,0.012168492,0.052598481,0.014123289,0.012020352,0.033169869,0.042704491,0.04630235,0.073883454,0.01510496,0.001384171,0.018991202,0.055071577,0.035602716,0.039854475,0.005525351,0.004942888,0.041657398,0.029258304,0.051349574,0.024461402
1,5,0.045517147,0.042800618,0.021211062,0.044820995,0.01519509,0.032268004,0.02524732,0.0120162,0.008751183,0.055204729,0.003952882,0.030901129,0.012118172,0.054421303,0.043619889,0.034948534,0.012658768,0.052342487,0.012995334,0.010788387,0.032299089,0.043569929,0.044216154,0.072842179,0.018039473,0.001428681,0.019636968,0.052472453,0.036359602,0.040796209,0.005723847,0.004989642,0.040311902,0.028616493,0.053119081,0.025398696
1,6,0.048985095,0.043556517,0.020900317,0.043377262,0.015280069,0.033437088,0.026822245,0.012513173,0.009917519,0.056971456,0.004261732,0.031847167,0.012684456,0.057245138,0.04366874,0.03549662,0.014412129,0.053076856,0.013895356,0.011770307,0.031537657,0.043967016,0.044455315,0.076418914,0.018117915,0.001517172,0.019124935,0.056388073,0.034877091,0.039020444,0.005757274,0.005395137,0.040363309,0.028856463,0.052796433,0.024892139
1,7,0.050813703,0.042614572,0.020518932,0.0458272,0.016070653,0.035178623,0.024890756,0.012148638,0.009973273,0.056937584,0.004555532,0.032123823,0.013019755,0.059607686,0.043157476,0.034714934,0.0130728,0.053393032,0.014098701,0.012450238,0.033653675,0.045034413,0.047304646,0.074711074,0.017768848,0.001568082,0.018425724,0.05804046,0.035815199,0.039897319,0.006141893,0.005278153,0.040485629,0.028747772,0.053955602,0.025779059
1,8,0.052041345,0.042436308,0.021050571,0.046228373,0.017507627,0.034206734,0.025655568,0.011470466,0.011210912,0.058512321,0.004851243,0.033619133,0.012216473,0.060715985,0.043020759,0.034539046,0.013752901,0.053305694,0.015810131,0.013699297,0.032581399,0.045433294,0.049459833,0.070646913,0.017059884,0.001593575,0.019707752,0.054376043,0.035657104,0.041257939,0.006187538,0.005487439,0.042025161,0.02900313,0.055878064,0.025138277
1,9,0.048004379,0.041570964,0.019324447,0.045230519,0.01799858,0.034037537,0.027675491,0.01202957,0.0108614,0.058652967,0.004804279,0.031187228,0.012863616,0.058508076,0.04453037,0.03617345,0.014068726,0.054507067,0.015629876,0.012970364,0.034694754,0.041208348,0.046955486,0.07472753,0.016967507,0.001783178,0.020420219,0.059503696,0.036809343,0.039630595,0.006652872,0.005671171,0.04395512,0.030779189,0.055042833,0.026934243
1,10,0.049100948,0.043161323,0.020552972,0.045460457,0.017418401,0.035765818,0.028058536,0.0125607,0.010746846,0.06046995,0.004990328,0.033425416,0.012183972,0.058433502,0.045157103,0.037440342,0.0130345,0.055446271,0.014387173,0.013123179,0.037461388,0.043853175,0.04701712,0.07577784,0.017257011,0.001797256,0.02094817,0.05705063,0.037642256,0.041774837,0.007006405,0.006128729,0.045319678,0.03130986,0.053389085,0.028153068
1,11,0.050079337,0.046894685,0.021421988,0.049117093,0.017818347,0.037100477,0.027943067,0.012652104,0.010457109,0.058010796,0.004832107,0.033603083,0.011670678,0.058552016,0.047018959,0.037924763,0.012528099,0.055910143,0.015369666,0.012908535,0.036556923,0.046362707,0.048587855,0.076476071,0.019615274,0.00191557,0.020751161,0.057638037,0.038723381,0.043816715,0.006830058,0.006334292,0.044299352,0.03122534,0.054128748,0.02859933
